ops_bin,used_runway,avg_separation
0,1,228.70833333333331
0,2,258.0
0,3,285.425
5,1,234.1875
5,2,224.43650793650795
5,3,249.63131313131314
10,1,143.1
10,2,198.85714285714286
10,3,210.56703296703296
15,1,182.14523809523808
15,2,245.9801587301587
15,3,215.18472222222223
20,1,188.27521366980432
20,2,173.32847204878456
20,3,176.43091497683605
25,1,192.7718743603654
25,2,173.7999137687218
25,3,169.34653926303238
30,1,178.6160197256495
30,2,212.64990669729104
30,3,168.9842448209897
35,1,143.3512435024515
35,2,178.6319885361552
35,3,189.59961765788393
40,1,134.07139443436176
40,2,164.26315176886604
40,3,200.4621521335807
