used_runway,hour,median_runway_time,total_operations
1,2024-10-21 04:00:00,39.0,30
1,2024-10-21 05:00:00,36.0,44
1,2024-10-21 06:00:00,57.0,52
1,2024-10-21 07:00:00,78.0,37
1,2024-10-21 08:00:00,46.0,43
1,2024-10-21 09:00:00,33.0,39
1,2024-10-21 10:00:00,43.0,27
1,2024-10-21 11:00:00,32.0,37
1,2024-10-21 12:00:00,39.5,49
1,2024-10-21 13:00:00,29.0,30
1,2024-10-21 14:00:00,51.0,43
1,2024-10-21 15:00:00,29.0,40
1,2024-10-21 16:00:00,47.5,38
1,2024-10-21 17:00:00,40.5,28
1,2024-10-21 18:00:00,30.0,29
1,2024-10-21 19:00:00,30.5,32
2,2024-10-21 00:00:00,44.0,1
2,2024-10-21 02:00:00,30.0,3
2,2024-10-21 03:00:00,38.0,6
2,2024-10-21 04:00:00,18.5,30
2,2024-10-21 05:00:00,16.0,44
2,2024-10-21 06:00:00,16.0,52
2,2024-10-21 07:00:00,17.0,37
2,2024-10-21 08:00:00,14.0,43
2,2024-10-21 09:00:00,19.0,39
2,2024-10-21 10:00:00,17.0,27
2,2024-10-21 11:00:00,17.0,37
2,2024-10-21 12:00:00,15.5,49
2,2024-10-21 13:00:00,13.5,30
2,2024-10-21 14:00:00,15.0,43
2,2024-10-21 15:00:00,17.0,40
2,2024-10-21 16:00:00,17.0,38
2,2024-10-21 17:00:00,16.0,28
2,2024-10-21 18:00:00,16.0,29
2,2024-10-21 19:00:00,26.0,32
2,2024-10-21 20:00:00,23.5,28
2,2024-10-21 21:00:00,27.5,17
2,2024-10-21 22:00:00,73.0,10
3,2024-10-21 01:00:00,35.0,3
3,2024-10-21 06:00:00,42.5,52
3,2024-10-21 07:00:00,2094.0,37
3,2024-10-21 18:00:00,298.0,29
3,2024-10-21 19:00:00,26.5,32
3,2024-10-21 20:00:00,21.0,28
3,2024-10-21 21:00:00,28.0,17
3,2024-10-21 22:00:00,27.5,10
3,2024-10-21 23:00:00,47.0,1
